Respondent ID,Respondent's gender,Respondent's age,Respondent's marital status,What province does the respondent live?,Name of city / town / growth point,Name of area/ suburb/village,Can you read and write?,What is your highest level of education?,Are you employed?,Mining,Retail,Civil service,Transport,Manufacturing,Tourism,NGOs,Local Government,Vending,Cross border trading,Tuck shop owner,Stationary shop owner,Flea market / bale shop,Canteen shop,Hair-dresser,Beads and ware making,Other (please specify),What best describes ﻿your accommodation agreement?,How can you describe your type of accommodation?,Which bracket can you place your monthly income given your earnings in the past 3 months?,"Have you ever been a part of a policy formulation process? (Eg. National budget consultative meeting, Parliamentary Portfolio Committee Public Outreach)",Budget approval,Discussions on performance of local authority,Discussions on performance of central government,Consultations on service delivery,COVID-19 national response,Consultations on the Transitional Stabilisation Program,Consultations on Vision 2030,Consultations on the National Development Strategy 1,Other (please specify),Do you think there is adequate scope / room for you to make an input towards public policy processes?,Budget approval,Consultations on improvement of service delivery,Discussions on performance of local authorities,Discussions on performance of central government,COVID-19 national response,Development of national processes,Other,Do you know about the National Development Strategy 1: 2021-2025 (NDS1)?,None of the above,Economic Growth and stability,"Transport, Infrastructure and Utilities",Governance,Moving the Economy up the Value Chain and Structural Transformation,Housing Delivery,Devolution,Health and Well-being,Human Capital Development,"Environmental Protection,Climate Resilience and Natural Resource Management",Food Security and Nutrition,Image Building and International Engagement and Re-engagement,Social Protection,Digital Economy,"Youth, Sport and Culture",All of the mentioned priority areas below,Other (please specify),Did you participate or make an input into the content of the NDS1?,Do you know about Vision 2030?,Governance Pillar,Macro-Economic Stability and Financial Re-engagement,Inclusive Growth,Infrastructural Development,Social Development,"Micro, Small and Medium Enterprises",Youth Development,Gender Equality and Women Empowerment,"Sport, Recreation, Arts and Culture",Did you participate or make an input into the content of Vision 2030?,Did you vote in the last general elections,Do you know your current Ward Councillor?,Clean water provision,Garbage disposal,Housing,Road network maintenance,Health care,Employment creation,Electricity,Education,Regular supply of clean water,Garbage disposal,Affordable Housing / Stands,Regular road network maintenance,Functioning and well equipped clinics,Jobs,Improved provision of Education,Vocational training opportunities,Street light  installation and maintenance,Sewer reticulation,Other (please specify),Incompetence by office holders,Corruption,Meddling by central government,Lack of appropriate oversight by Councillors,Lack of appropriate oversight by residents,Inadequate resources,Other (please specify),How would you rank overall local council performance since election so far?,Do you know your current Member of Parliament,Do you know your current Senator?,How would you rank overall Government performance since elections?,Provision / Creation of jobs - Rating,Stability of prices - Rating,Health care delivery - Rating,Education delivery - Rating,Nation building - Rating,Infrastructure development - Rating,Does government have adequate resources to implement or address these issues?,Limited financial resources,Corruption,Sanctions,Lack of political will,Incompetence,Ineffective leadership,Lack of integrity,External political pressures,Other (please specify),Stabilising prices,Fixing cash shortages,Creating employment,Dealing with corruption,Improved infrastructure,Re-engagement with the international community,Working together with other political parties,Resuscitating industry,Improved health service delivery,Improved education provision,Ensuring food security,Affordable housing and stands,Improved local government service provision,Other (please specify),Many of us in well paying jobs (family / friends),Stable and affordable prices of goods,Many of us have our own homes,We are food secure (3 meals a day),Corrupt elements are put in prison,Industries are open and exporting,Our schools are working,"Our clinics and hospitals are able to save lives, they have drugs and all the necessary equipment.",Political parties are not insulting each other but are working together.,We are a part of the international community (tourists/investors are coming) and we are hosting important international meetings,Other (please specify),Are there any other issues you feel should be addressed?
13105792925,Male,36 - 45,Married,Masvingo,Mashava Masvingo ,Gatesmine,Yes,Secondary school,Yes,,,,,,,,,,,Tuck shop owner,,,,,,,Company owned,Full house,US$0-$50,No,,,,,,,,,,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,Gender Equality and Women Empowerment,,No,Yes,Yes,Decreased (bad),Decreased (bad),Remained the same (fair),Remained the same (fair),Decreased (bad),Decreased (bad),Remained the same (fair),Remained the same (fair),,Garbage disposal,,,Functioning and well equipped clinics,,,,,Sewer reticulation,,,Corruption,,,,,,Low,Yes,No,Low,Low,Low,Low,Low,Low,Low,Yes,,Corruption,,,,,,,,Stabilising prices,Fixing cash shortages,,Dealing with corruption,,,,,,,,,,,,Stable and affordable prices of goods,,,Corrupt elements are put in prison,,,,,,,Government should adress and put measures to reduce violence by gold panners
13105785476,Female,46 - 55,Widowed,Masvingo,Masvingo Rural ,Kombo,Yes,Secondary school,No,,,,,,,,,,,,,,,,,,Living with family or friends,Full house,US$0-$50,No,,,,,,,,,,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,Yes,Yes,Non-existent (very bad),Non-existent (very bad),Remained the same (fair),Decreased (bad),Decreased (bad),Remained the same (fair),Non-existent (very bad),Remained the same (fair),Regular supply of clean water,,,,Functioning and well equipped clinics,,,,,,,,Corruption,,,,,,Low,Yes,No,Low,Low,Low,Low,Low,Low,Low,Yes,,Corruption,,,,Ineffective leadership,,,,,,Creating employment,Dealing with corruption,,,,,,,Ensuring food security,,,,,Stable and affordable prices of goods,,We are food secure (3 meals a day),,,,"Our clinics and hospitals are able to save lives, they have drugs and all the necessary equipment.",,,,No
13105777736,Female,46 - 55,Married,Masvingo,Masvingo Rural ,Topora ,No,Primary school,Yes,,,,,,,,,Vending,,,,,,,,,Living with family or friends,Full house,US$0-$50,Yes,,,,,,,,,Covid 19,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,Yes,Yes,Non-existent (very bad),Non-existent (very bad),Remained the same (fair),Decreased (bad),Decreased (bad),Remained the same (fair),Remained the same (fair),Remained the same (fair),Regular supply of clean water,,,,Functioning and well equipped clinics,,,,,,,,Corruption,,Lack of appropriate oversight by Councillors,,,,Low,Yes,No,Low,Low,Low,Low,Low,Low,Low,Yes,,Corruption,,,,Ineffective leadership,,,,Stabilising prices,,Creating employment,Dealing with corruption,,,,,,,,,,,,Stable and affordable prices of goods,,,,,,"Our clinics and hospitals are able to save lives, they have drugs and all the necessary equipment.",,,,No
13105769677,Female,26 - 35,Married,Masvingo,Masvingo Rural ,Topora ,Yes,Secondary school,Yes,,,,,,,,,Vending,,,,,,,,,Living with family or friends,Full house,US$0-$50,No,,,,,,,,,,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,Yes,No,Non-existent (very bad),Non-existent (very bad),Remained the same (fair),Decreased (bad),Remained the same (fair),Decreased (bad),Remained the same (fair),Remained the same (fair),Regular supply of clean water,,,,Functioning and well equipped clinics,Jobs,,,,,,,,,,,Inadequate resources,,Low,Yes,No,Low,Low,Low,Low,Low,Low,Low,Yes,,Corruption,,,,,,,,,Fixing cash shortages,,Dealing with corruption,,,,,,,Ensuring food security,,,,,Stable and affordable prices of goods,,,Corrupt elements are put in prison,,,"Our clinics and hospitals are able to save lives, they have drugs and all the necessary equipment.",,,,Government must solve cash  shortage problems and fix exchange rates 
13105761887,Male,36 - 45,Married,Masvingo,Masvingo Rural ,Topora ,Yes,Secondary school,Yes,,,,,,,,,,,,,,,,,Agriculture ,Living with family or friends,Full house,US$0-$50,No,,,,,,,,,,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,Yes,Yes,Non-existent (very bad),Non-existent (very bad),Remained the same (fair),Decreased (bad),Remained the same (fair),Non-existent (very bad),Remained the same (fair),Remained the same (fair),,,,Regular road network maintenance,,,,Vocational training opportunities,,,,,Corruption,,,,,,Low,Yes,No,Low,Low,Low,Low,Low,Low,Low,Yes,,Corruption,,,,Ineffective leadership,,,,,,,Dealing with corruption,Improved infrastructure,,,,,,,,,,,,,,Corrupt elements are put in prison,,,,,,,No 
13105755559,Female,18 - 25,Married,Masvingo,Masvingo Rural ,Zano ,Yes,Secondary school,Yes,,Retail,,,,,,,,,,,,,,,,Living with family or friends,Full house,US$0-$50,No,,,,,,,,,,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,No,Yes,Non-existent (very bad),Non-existent (very bad),Decreased (bad),Decreased (bad),Decreased (bad),Remained the same (fair),Remained the same (fair),Decreased (bad),Regular supply of clean water,,,,Functioning and well equipped clinics,,,Vocational training opportunities,,,,,Corruption,,Lack of appropriate oversight by Councillors,Lack of appropriate oversight by residents,,,Low,Yes,No,Low,Low,Low,Low,Low,Low,Low,Yes,,Corruption,,,,Ineffective leadership,,,,,,,Dealing with corruption,,,,,Improved health service delivery,,,Affordable housing and stands,,,,Stable and affordable prices of goods,,,Corrupt elements are put in prison,,,"Our clinics and hospitals are able to save lives, they have drugs and all the necessary equipment.",,,,No
13105747699,Male,66 and above,Married,Masvingo,Masvingo Rural ,Zano,Yes,Secondary school,No,,,,,,,,,,,,,,,,,,Living with family or friends,Full house,US$0-$50,No,,,,,,,,,,Yes,,,,,,,Other,No,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,Yes,Yes,Non-existent (very bad),Non-existent (very bad),Remained the same (fair),Decreased (bad),Remained the same (fair),Non-existent (very bad),Non-existent (very bad),Remained the same (fair),Regular supply of clean water,,,Regular road network maintenance,Functioning and well equipped clinics,,,,,,,,,,,,Inadequate resources,,Low,Yes,No,Medium,Low,Low,Medium,Medium,Low,Low,Yes,,Corruption,,Lack of political will,Incompetence,,,,,,Fixing cash shortages,,,Improved infrastructure,,,,,,,,Improved local government service provision,,,,,,,Industries are open and exporting,,,,,Infrustructure development in rural areas,No
13105736871,Female,36 - 45,Divorced,Masvingo,Masvingo Rural ,Zano,Yes,Secondary school,No,,,,,,,,,,,,,,,,,,Living with family or friends,Hut,US$0-$50,No,,,,,,,,,,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,Yes,Yes,Non-existent (very bad),Non-existent (very bad),Remained the same (fair),Remained the same (fair),Remained the same (fair),Non-existent (very bad),Non-existent (very bad),Remained the same (fair),Regular supply of clean water,,,,,,,Vocational training opportunities,,,,,,,,,Inadequate resources,,Medium,Yes,No,Low,Low,Low,Medium,Low,Medium,Low,Yes,,,,,Incompetence,Ineffective leadership,,,,Stabilising prices,Fixing cash shortages,,,,,,,,,,,,,,Stable and affordable prices of goods,,We are food secure (3 meals a day),,,,,,,,We want the government to donate and build boreholes which are close to the community 
13105558413,Female,46 - 55,Married,Mashonaland West,Norton,Katanga,Yes,Secondary school,Yes,,,,,,,,,,,,,,,Hair-dresser,,,Living with family or friends,Room(s) in a house,US$101-$200,No,,,,,,,,,,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,Yes,,,Inclusive Growth,Infrastructural Development,,,,,"Sport, Recreation, Arts and Culture",Yes,Yes,Yes,Non-existent (very bad),Non-existent (very bad),Non-existent (very bad),Non-existent (very bad),Non-existent (very bad),Non-existent (very bad),Non-existent (very bad),Non-existent (very bad),,,,Regular road network maintenance,,Jobs,,,,,,,Corruption,,,,,,Low,Yes,Yes,Low,Low,Low,Low,Low,Low,Low,No,Limited financial resources,Corruption,Sanctions,,,,,,,Stabilising prices,,Creating employment,,,,,,,,,Affordable housing and stands,,,,,,,,Industries are open and exporting,,"Our clinics and hospitals are able to save lives, they have drugs and all the necessary equipment.",Political parties are not insulting each other but are working together.,,,
13105038673,Male,36 - 45,Married,Matabeleland South,Gwanda  town,Dolfountain,Yes,Tertiary education,Yes,,,,,,,,,,,,,,Canteen shop,,,,Rental,Cottage,US$101-$200,Yes,,,,,,Consultations on the Transitional Stabilisation Program,,Consultations on the National Development Strategy 1,,Yes,,,,,,Development of national processes,Other,No,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,Yes,Yes,Moderately improved (good),Remained the same (fair),Non-existent (very bad),Decreased (bad),Improved a lot (excellent),Non-existent (very bad),Remained the same (fair),Moderately improved (good),Regular supply of clean water,,,Regular road network maintenance,,,,,Street light  installation and maintenance,,,Incompetence by office holders,,Meddling by central government,,,,,Low,Yes,Yes,Low,Low,Low,Medium,High,Low,Low,Yes,,Corruption,,,Incompetence,Ineffective leadership,,,,Stabilising prices,,,Dealing with corruption,,,,Resuscitating industry,,,,,,,,Stable and affordable prices of goods,,,,Industries are open and exporting,,,,We are a part of the international community (tourists/investors are coming) and we are hosting important international meetings,,N/À
13105031049,Female,26 - 35,Married,Matabeleland South,Gwanda  town,Gwanda North ,Yes,Secondary school,No,,,,,,,,,,,,,,,,,,Living with family or friends,Cottage,US$51-$100,No,,,,,,,,,,Yes,Budget approval,,Discussions on performance of local authorities,,COVID-19 national response,,,No,,,,,,,,,,,,,,,,,,,Yes,,,,Infrastructural Development,Social Development,,,Gender Equality and Women Empowerment,,No,Yes,Yes,Moderately improved (good),Remained the same (fair),Non-existent (very bad),Decreased (bad),Moderately improved (good),Decreased (bad),Remained the same (fair),Improved a lot (excellent),,,,Regular road network maintenance,,,,Vocational training opportunities,,Sewer reticulation,,Incompetence by office holders,Corruption,Meddling by central government,,,,,Low,Yes,Yes,Low,Low,Low,High,High,Medium,Low,Yes,,Corruption,,,,Ineffective leadership,Lack of integrity,,,Stabilising prices,,Creating employment,,,,,Resuscitating industry,,,,,,,Many of us in well paying jobs (family / friends),Stable and affordable prices of goods,,,,Industries are open and exporting,,,,,,Decentralisation will make it great change 
13105020750,Male,36 - 45,Never Married,Matabeleland South,Sgodini,Sgodini surburb,Yes,Secondary school,Yes,,,,,,,,,,,,,,,,,Farming ,Rental,Full house,US$201-$500,No,,,,,,,,,,No,,,,,,,,Yes,,Economic Growth and stability,,,,,,,,"Environmental Protection,Climate Resilience and Natural Resource Management",,,,Digital Economy,,,,No,No,,,,,,,,,,,Yes,Yes,Remained the same (fair),Remained the same (fair),Decreased (bad),Non-existent (very bad),Moderately improved (good),Non-existent (very bad),Moderately improved (good),Improved a lot (excellent),Regular supply of clean water,,,Regular road network maintenance,,,,,,Sewer reticulation,,Incompetence by office holders,,Meddling by central government,,,,,Low,Yes,Yes,Low,Low,Low,Medium,Medium,Low,Low,Yes,,Corruption,,Lack of political will,,Ineffective leadership,,,,,,Creating employment,,,Re-engagement with the international community,,Resuscitating industry,,,,,,,,Stable and affordable prices of goods,,,,Industries are open and exporting,,,,We are a part of the international community (tourists/investors are coming) and we are hosting important international meetings,,Stands servicing and stands for sale
13104970379,Male,36 - 45,Divorced,Matabeleland South, Collen bawn,Collen bawn section2,Yes,Secondary school,No,,,,,,,,,,,,,,,,,,Living with family or friends,Room(s) in a house,US$101-$200,No,,,,,,,,,,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,Yes,,,,Infrastructural Development,,"Micro, Small and Medium Enterprises",Youth Development,,,Yes,Yes,Yes,Remained the same (fair),Decreased (bad),Non-existent (very bad),Non-existent (very bad),Remained the same (fair),Non-existent (very bad),Remained the same (fair),Moderately improved (good),,,,Regular road network maintenance,Functioning and well equipped clinics,,,,,Sewer reticulation,,Incompetence by office holders,Corruption,Meddling by central government,,,,,Medium,Yes,No,Low,Low,Low,Medium,High,Medium,Low,Yes,Limited financial resources,,,Lack of political will,Incompetence,,,,,Stabilising prices,,Creating employment,,,Re-engagement with the international community,,,,,,,,,,,Many of us have our own homes,,Corrupt elements are put in prison,Industries are open and exporting,,,,,,N/A
